rank,candidate,model,provider,provider_name,quantization,temperature,top_p,top_k,sampling_source,exact_actor_model_overlap,units_requested,units_scored,unit_coverage,labels_scored,agreement,cohen_kappa,human_positive_rate,judge_positive_rate,selection_eligible
1,glm-5.2,z-ai/glm-5.2,gmicloud,GMICloud,fp8,1.0,0.95,,Z.ai recommendation,False,38,38,1.0,491,0.9164969450101833,0.8051266662149211,0.29938900203665986,0.32179226069246436,True
2,deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-0731,gmicloud,GMICloud,fp8,1.0,1.0,,OpenRouter sampler defaults; low reasoning pinned,False,38,38,1.0,491,0.9164969450101833,0.7997811925008702,0.29938900203665986,0.29327902240325865,True
3,grok-4.3,x-ai/grok-4.3,xai,xAI,provider native,,,,unpublished sampler defaults; published low reasoning default,False,38,38,1.0,491,0.9124236252545825,0.784958393171795,0.29938900203665986,0.26883910386965376,True
4,grok-4.5,x-ai/grok-4.5,xai,xAI,provider native,1.0,1.0,,OpenRouter sampler defaults; xAI low reasoning setting,False,38,38,1.0,491,0.9083503054989817,0.779383131471478,0.29938900203665986,0.2892057026476578,True
5,inkling-small,thinkingmachines/inkling-small,deepinfra,DeepInfra,fp8,,,,no published model sampler; pinned provider defaults,False,38,38,1.0,491,0.9063136456211812,0.7740360565860295,0.29938900203665986,0.28716904276985744,True
6,minimax-m3,minimax/minimax-m3,minimax,MiniMax,fp8,1.0,0.95,,MiniMax recommendation,False,38,38,1.0,491,0.9042769857433809,0.769577937314655,0.29938900203665986,0.2892057026476578,True
7,mimo-v2.5-pro,xiaomi/mimo-v2.5-pro,xiaomi,Xiaomi,fp8,1.0,0.95,,Xiaomi recommendation,False,38,38,1.0,491,0.9022403258655805,0.7687688866214042,0.29938900203665986,0.3075356415478615,True
8,step-3.7-flash,stepfun/step-3.7-flash,stepfun,StepFun,fp8,1.0,,,StepFun llama.cpp example; top-p left at provider default,False,38,38,1.0,491,0.9042769857433809,0.76775057113815,0.29938900203665986,0.28105906313645623,True
9,qwen3.7-plus,qwen/qwen3.7-plus,alibaba,Alibaba,fp8,1.0,1.0,,OpenRouter defaults; non-thinking mode for JSON,False,38,38,1.0,491,0.9022403258655805,0.7651373221190259,0.29938900203665986,0.29124236252545826,True
10,hy3,tencent/hy3,gmicloud,GMICloud,bf16,0.9,1.0,,Tencent recommendation,False,38,38,1.0,491,0.9022403258655805,0.762337898069903,0.29938900203665986,0.2790224032586558,True
11,longcat-2.0,meituan/longcat-2.0,atlas-cloud,AtlasCloud,fp8,1.0,1.0,0,OpenRouter model defaults,False,38,38,1.0,491,0.9022403258655805,0.7613898675738063,0.29938900203665986,0.27494908350305497,True
12,claude-sonnet-5,anthropic/claude-sonnet-5,anthropic,Anthropic,provider native,,,,native endpoint does not accept temperature/top-p; low reasoning pinned,False,38,38,1.0,491,0.8981670061099797,0.7572575541844646,0.29938900203665986,0.29938900203665986,True
13,muse-spark-1.1,meta/muse-spark-1.1,meta,Meta,provider native,1.0,1.0,,neutral sampler; lowest supported reasoning effort above minimal,False,38,38,1.0,491,0.90020366598778,0.756903676908931,0.29938900203665986,0.2769857433808554,True
14,nex-n2-pro,nex-agi/nex-n2-pro,nex-agi,Nex AGI,fp8,0.7,0.95,40,Nex AGI recommendation,False,38,38,1.0,491,0.8981670061099797,0.7524353104894824,0.29938900203665986,0.2790224032586558,True
